模型,准确率,精确率 (宏平均),召回率 (宏平均),F1分数 (宏平均)
SVM,0.9857,0.9917,0.9750,0.9788
决策树,1.0000,1.0000,1.0000,1.0000
KNN,0.9571,0.9750,0.9250,0.9364
